title,description,uuid,date_created
SSA - GAM,Spice Semantic Annotator - Collection of contents from GAM use case analysed by SSA,810d60a6-c7be-4299-be2e-c86d988f58ad,2022-03-13 14:21:47
SSA - HECHT,Spice Semantic Annotator - Collection of contents from HECHT use case analysed by SSA,4125ba0c-adbe-4b0b-a2ff-3a5dde29d088,2022-03-13 14:25:30
SSA - MNCN,Spice Semantic Annotator - Collection of contents from the use case of Museo Nacional de Ciencias Naturales, analysed by SSA,2ae73c0c-84ad-416c-b17b-23032a75f0ef,2022-03-13 14:27:31
SSA - DMH,Spice Semantic Annotator - Collection of contents from the use case of Design Museum Helsinki, analysed by SSA,514c5676-2560-47a9-bab4-76ff42eb0b83,2022-03-13 14:28:59
Deep Listening,Dataset for the Deep Listening application,2d30744b-80d4-4b71-bc35-eff0f3515c6f,2022-06-05 13:38:08
Hecht-Testing,Example data for testing LDH API integration,75bd329a-6d1a-429f-805e-9052f68cb6c5,2022-06-15 13:34:15
GAMGame_stories,User generated stories from GAMGame (version 24/06/2022).This dataset contains GAMGame stories from 17/02/2022 to 27/05/2022 ,e7db9e34-9ecd-4b69-a21d-aee50d4b8d66,2022-06-24 11:14:05
DMH: Narratives stories - DEGARI Classification,DMH: Narratives (stories) about design objects from workshop participants, classified by DEGARI (UNITO),ac097eeb-53db-4230-b2d4-fa370cf1f6d7,2022-07-02 09:57:47
Multistage_Form_Activity_Definitions_Test,Multistage Form Activity definitions (for testing purposes, activity specification still in progress),a42fab5c-5602-46ab-bdd0-9a25c9d87bd4,2022-07-11 12:58:17
DMH: Stories collected from users,Several stories of design objects collected from users during workshops.,88abdd7d-73d9-4a75-902b-89c78f9df7c0,2022-07-19 13:11:44
POPUP_VR_Testing,Test dataset for staging some data uploads. Not for public/visible use.,f812e7cc-7646-4d06-93ad-b56894877fca,2022-08-08 12:05:24
DMH: Narratives 123 stories - DEGARI Classification,DMH: Narratives 123 stories about design objects from workshop participants, classified by DEGARI (UNITO),5b6b876d-ad95-4bd8-a27f-627a5a98fdb5,2022-08-17 11:10:47
GAMGame_UserInteractions,GAMGame dataset with emotion and users interactions,b711f8df-f778-4357-853f-140357b3d058,2022-08-30 10:19:54
Activity_Session_Definitions_Test ,Activity Sessions available (all collections),1522b478-33c2-49cc-a87f-241e68a8771e,2022-09-08 10:07:02
HechtTest,To test various items before entering real data,be97c833-7882-4073-9dde-168f9901683f,2022-09-08 10:53:26
GAMGame_ArtEmotions_DEGARI_users,GAMGame dataset with emotion and users interactions completed with DEGARI and Art&Emotion (merged version 16 september 2022),b496a825-ca10-490b-a387-2462978aec83,2022-09-16 09:39:41
Festus_Dev_Test,Development test,0a3b44d1-bfa6-45a5-ac02-0c0a3a30e8c2,2022-09-29 12:02:51
